Title,Price_Raw,Price_PKR,Size_Raw,Size_Marla,Listing_URL,City,Property_Type
5 Marla Designer Concept House For Sale,1.99 Crore,19900000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_5_marla_designer_concept_house_for_sale-54256469-8433-1.html,Jhelum,House
5 Marla House For Sale Ideal Location In Citi Housing Jhelum,1.49 Crore,14900000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_5_marla_house_for_sale_ideal_location_in_citi_housing_jhelum-54263668-8433-1.html,Jhelum,House
5 Marla D Block Designer House For Sale,1.92 Crore,19200000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_5_marla_d_block_designer_house_for_sale-54227235-8433-1.html,Jhelum,House
5 Marla D Block Designer Concept House For Sale,1.9 Crore,19000000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_5_marla_d_block_designer_concept_house_for_sale-54192623-8433-1.html,Jhelum,House
1 Kanal Luxury House Available For Sale,6.75 Crore,67500000.0,1.0 Kanal,20.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_1_kanal_luxury_house_available_for_sale-53985318-8433-1.html,Jhelum,House
"Your Serene Retreat 5 Marla House In D Block, Citi Housing Jhelum",1.95 Crore,19500000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_your_serene_retreat_5_marla_house_in_d_block_citi_housing_jhelum-51623668-8433-1.html,Jhelum,House
Exclusive 5 Marla Modern Residence | Prime Location Citi Housing Jhelum K Block,2.0 Crore,20000000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_exclusive_5_marla_modern_residence_prime_location_citi_housing_jhelum_k_block-54464889-8433-1.html,Jhelum,House
Well-Constructed House Available For Sale In Citi Housing Scheme,1.61 Crore,16100000.000000002,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_well-constructed_house_available_for_sale_in_citi_housing_scheme-53712917-8433-1.html,Jhelum,House
"10 Marla Luxury Furnished House Available For Sale Citi Housing Jhelum ( H Block ) 8 Ac installed "" Fully Furnished Luxury , Main Boulevard + Park Near",4.9 Crore,49000000.0,10.0 Marla,10.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_10_marla_luxury_furnished_house_available_for_sale_citi_housing_jhelum_h_block_8_ac_installed_fully_furnished_luxury_main_boulevard_park_near-54494505-8433-1.html,Jhelum,House
1 Kanal House Available For Sale With Solar System & Furniture Installed In Best Reasonable Price,5.0 Crore,50000000.0,1.0 Kanal,20.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_1_kanal_house_available_for_sale_with_solar_system_furniture_installed_in_best_reasonable_price-54628558-8433-1.html,Jhelum,House
"7 M Spanished House Brand New Best Location Available For Sale "" D Block "" Citi Housing Jhelum """,2.78 Crore,27799999.999999996,7.0 Marla,7.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_7_m_spanished_house_brand_new_best_location_available_for_sale_d_block_citi_housing_jhelum-54607949-8433-1.html,Jhelum,House
Designer House With Futuristic Elevation,1.99 Crore,19900000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_designer_house_with_futuristic_elevation-53789626-8433-1.html,Jhelum,House
Designer House With Modern Elevation,2.14 Crore,21400000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_designer_house_with_modern_elevation-53789613-8433-1.html,Jhelum,House
Designer House With Innovative Elevation For Sale,2.14 Crore,21400000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_designer_house_with_innovative_elevation_for_sale-53789546-8433-1.html,Jhelum,House
Aristo Spanish Villa For Sale,1.79 Crore,17900000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_aristo_spanish_villa_for_sale-53962896-8433-1.html,Jhelum,House
10 Marla For Sale House In Citi Housing Jhelum,3.5 Crore,35000000.0,10.0 Marla,10.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_10_marla_for_sale_house_in_citi_housing_jhelum-54324251-8433-1.html,Jhelum,House
1 Kanal Luxury House Available For Sale In Citi Housing Jhelum,6.4 Crore,64000000.0,1.0 Kanal,20.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_1_kanal_luxury_house_available_for_sale_in_citi_housing_jhelum-54679958-8433-1.html,Jhelum,House
Own A House In 5 Marla Citi Housing Scheme,2.0 Crore,20000000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_own_a_house_in_5_marla_citi_housing_scheme-54470349-8433-1.html,Jhelum,House
Designer House With Modern Elevation,1.99 Crore,19900000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_designer_house_with_modern_elevation-53789622-8433-1.html,Jhelum,House
Aristo Arabian Villa For Sale,1.74 Crore,17400000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_aristo_arabian_villa_for_sale-53962908-8433-1.html,Jhelum,House
"Fully Furnished Corner Villa For Sale, Ideal Location.",5.0 Crore,50000000.0,2.0 Kanal,40.0,https://www.zameen.com/Property/jhelum_mgh_-_mangla_green_housing_fully_furnished_corner_villa_for_sale_ideal_location-53742919-21183-1.html,Jhelum,House
Aristo Executive Villa For Sale,8.49 Crore,84900000.0,1.0 Kanal,20.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_aristo_executive_villa_for_sale-54256163-8433-1.html,Jhelum,House
House For Sale In Cantt Furnished On Investor Rate,9.0 Crore,90000000.0,16.0 Marla,16.0,https://www.zameen.com/Property/jhelum_cantt_house_for_sale_in_cantt_furnished_on_investor_rate-54189991-707-1.html,Jhelum,House
5 Marla House In K Block Available For Sale On Investor Rate,1.75 Crore,17500000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_5_marla_house_in_k_block_available_for_sale_on_investor_rate-54435861-8433-1.html,Jhelum,House
Luxury 7 Marla House For Sale On Investore Rate,2.9 Crore,29000000.0,7.0 Marla,7.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_luxury_7_marla_house_for_sale_on_investore_rate-54663029-8433-1.html,Jhelum,House
5 Marla House For Sale Citi Housing Jhelum | D Block,2.45 Crore,24500000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_5_marla_house_for_sale_citi_housing_jhelum_d_block-54614887-8433-1.html,Jhelum,House
7 Marla House for Sale Citi Housing Jhelum | J Block,2.4 Crore,24000000.0,7.0 Marla,7.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_7_marla_house_for_sale_citi_housing_jhelum_j_block-54614894-8433-1.html,Jhelum,House
5 Marla Corner House For Sale Citi Housing Jhelum | G Block,2.2 Crore,22000000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_5_marla_corner_house_for_sale_citi_housing_jhelum_g_block-54614897-8433-1.html,Jhelum,House
1 Kanal House For Sale Citi Housing Jhelum | A Block,5.95 Crore,59500000.0,1.0 Kanal,20.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_1_kanal_house_for_sale_citi_housing_jhelum_a_block-54614910-8433-1.html,Jhelum,House
Buying A House In Citi Housing Scheme Jhelum,1.95 Crore,19500000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_buying_a_house_in_citi_housing_scheme_jhelum-51676071-8433-1.html,Jhelum,House
5 Marla House In Citi Housing Jhelum,2.0 Crore,20000000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_5_marla_house_in_citi_housing_jhelum-52613433-8433-1.html,Jhelum,House
"5 Marla House For Sale In B Block, Citi Housing Jhelum Near Theme Park",2.1 Crore,21000000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_5_marla_house_for_sale_in_b_block_citi_housing_jhelum_near_theme_park-52262064-8433-1.html,Jhelum,House
07 Marla Dream Home In Citi Housing Jhelum Prime Location &Amp; Modern Living Awaits!,2.85 Crore,28500000.0,7.0 Marla,7.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_07_marla_dream_home_in_citi_housing_jhelum_prime_location_amp_modern_living_awaits-51928409-8433-1.html,Jhelum,House
5 Marla Corner Dream Home For Sale In Citi Housing Jhelum,2.2 Crore,22000000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_5_marla_corner_dream_home_for_sale_in_citi_housing_jhelum-52613560-8433-1.html,Jhelum,House
House For Sale In Beautiful Citi Housing Scheme,1.55 Crore,15500000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_house_for_sale_in_beautiful_citi_housing_scheme-54483576-8433-1.html,Jhelum,House
Own A Piece Of Paradise! Spacious 5 Marla House In Citi Housing Jhelum Offering,2.0 Crore,20000000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_own_a_piece_of_paradise_spacious_5_marla_house_in_citi_housing_jhelum_offering-51820199-8433-1.html,Jhelum,House
5 Marla House,1.45 Crore,14500000.0,5.0 Marla,5.0,https://www.zameen.com/Property/citi_housing_overseas_citi_housing_overseas_-_block_a_5_marla_house-53006975-20086-1.html,Jhelum,House
"Newly Built Two Side Open House with Big Garden on the Back, Available for sale in A block on investor rate",2.0 Crore,20000000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_newly_built_two_side_open_house_with_big_garden_on_the_back_available_for_sale_in_a_block_on_investor_rate-54575525-8433-1.html,Jhelum,House
5 Marla House For Sale On Investor Rate,1.5 Crore,15000000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_5_marla_house_for_sale_on_investor_rate-53309318-8433-1.html,Jhelum,House
House On Instalments Customized Built,1.55 Crore,15500000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_house_on_instalments_customized_built-53551702-8433-1.html,Jhelum,House
Newly Built House Available For Sale In D Ext Block,1.55 Crore,15500000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_newly_built_house_available_for_sale_in_d_ext_block-54575482-8433-1.html,Jhelum,House
