Title,Price_Raw,Price_PKR,Size_Raw,Size_Marla,Listing_URL,City,Property_Type,Bedrooms,Bathrooms,Location,Price_per_Marla,Area,Area_Grouped
Luxury House Available For Sale In Citi Housing Gujranwala On Your Ideal Location,2.35 Crore,23500000.0,5.0 Marla,5.0,https://www.zameen.com/Property/gujranwala_citi_housing_society_luxury_house_available_for_sale_in_citi_housing_gujranwala_on_your_ideal_location-54664024-3083-1.html,Gujranwala,House,4.0,5.0,"Citi Housing Society, Gujranwala, Punjab",4700000.0,Citi Housing Society,Citi Housing Society
5 Marla Beautiful House Available For Sale In Citi Housing Gujranwala,1.8 Crore,18000000.0,5.0 Marla,5.0,https://www.zameen.com/Property/gujranwala_citi_housing_society_5_marla_beautiful_house_available_for_sale_in_citi_housing_gujranwala-54664025-3083-1.html,Gujranwala,House,4.0,5.0,"Citi Housing Society, Gujranwala, Punjab",3600000.0,Citi Housing Society,Citi Housing Society
5 Marla Beautifully Design House Available For Sale In Citi Housing Gujranwala,1.85 Crore,18500000.0,5.0 Marla,5.0,https://www.zameen.com/Property/gujranwala_citi_housing_society_5_marla_beautifully_design_house_available_for_sale_in_citi_housing_gujranwala-54656840-3083-1.html,Gujranwala,House,4.0,5.0,"Citi Housing Society, Gujranwala, Punjab",3700000.0,Citi Housing Society,Citi Housing Society
Prime Location Citi Housing - Phase 2 House For sale Sized 10 Marla,4.6 Crore,46000000.0,10.0 Marla,10.0,https://www.zameen.com/Property/citi_housing_society_citi_housing_-_phase_2_prime_location_citi_housing_-_phase_2_house_for_sale_sized_10_marla-54597324-3085-1.html,Gujranwala,House,5.0,5.0,"Citi Housing Society, Gujranwala, Punjab",4600000.0,Citi Housing Society,Citi Housing Society
Main Double Road House Available For sale In Citi Housing Society,5.0 Crore,50000000.0,10.0 Marla,10.0,https://www.zameen.com/Property/gujranwala_citi_housing_society_main_double_road_house_available_for_sale_in_citi_housing_society-53855836-3083-1.html,Gujranwala,House,6.0,6.0,"Citi Housing Society, Gujranwala, Punjab",5000000.0,Citi Housing Society,Citi Housing Society
6.25 Marla Corner Ultra Modern House For Sale | Royal Palm City Gujranwala | Luxury Home Tour 2026,2.45 Crore,24500000.0,6.0 Marla,6.0,https://www.zameen.com/Property/eminabad_more_royal_palm_city_6_25_marla_corner_ultra_modern_house_for_sale_royal_palm_city_gujranwala_luxury_home_tour_2026-54503107-11297-1.html,Gujranwala,House,4.0,4.0,"Eminabad More, Gujranwala, Punjab",4083333.3333333335,Eminabad More,Eminabad More
10 Marla Beautiful Facing Park Home Available For Sale,5.5 Crore,55000000.0,10.0 Marla,10.0,https://www.zameen.com/Property/gujranwala_citi_housing_society_10_marla_beautiful_facing_park_home_available_for_sale-54510606-3083-1.html,Gujranwala,House,6.0,6.0,"Citi Housing Society, Gujranwala, Punjab",5500000.0,Citi Housing Society,Citi Housing Society
A Good Location House Of 10 Marla In Citi Housing Society,3.8 Crore,38000000.0,10.0 Marla,10.0,https://www.zameen.com/Property/gujranwala_citi_housing_society_a_good_location_house_of_10_marla_in_citi_housing_society-54596431-3083-1.html,Gujranwala,House,5.0,5.0,"Citi Housing Society, Gujranwala, Punjab",3800000.0,Citi Housing Society,Citi Housing Society
Looking For A Corner House In Royal Palm City Gujranwala,2.45 Crore,24500000.0,5.0 Marla,5.0,https://www.zameen.com/Property/eminabad_more_royal_palm_city_looking_for_a_corner_house_in_royal_palm_city_gujranwala-54528038-11297-1.html,Gujranwala,House,4.0,4.0,"Eminabad More, Gujranwala, Punjab",4900000.0,Eminabad More,Eminabad More
Double Height 5 Marla Modern House For Sale Block DD Phase 1 Citi Housing Gujranwala,2.5 Crore,25000000.0,5.0 Marla,5.0,https://www.zameen.com/Property/citi_housing_phase_1_citi_housing_phase_1_-_block_dd_double_height_5_marla_modern_house_for_sale_block_dd_phase_1_citi_housing_gujranwala-54266987-20423-1.html,Gujranwala,House,4.0,5.0,"Citi Housing Society, Gujranwala, Punjab",5000000.0,Citi Housing Society,Citi Housing Society
